Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
d8ffa4ff-a382-3baf-bb8b-b764fa851211,4f5d816b-426b-3ef0-abc7-6aa696987898,Rosette746 Bruen238,F,GENERAL PRACTICE,,Liverpool,UnitedKingdom,L3 8,53.4328022,-2.9664485,54
7fadbd8d-849c-389d-ae88-00c207910d1b,2ac5726f-f676-393c-bcd9-994bb30afce9,Chauncey770 Steuber698,M,GENERAL PRACTICE,,Aberdeen,UnitedKingdom,AB11 6,57.1502971,-2.0929115,98
2a94f8d3-1321-3968-bb56-ca95bd7bbe5e,3e696670-b4a9-3e26-9b9e-8e9707f95288,Peter292 Wintheiser220,M,GENERAL PRACTICE,,Bournemouth,UnitedKingdom,BH2 5,50.7665079,-1.9051141,43
c8ff7cbd-7ad1-3cf5-ad53-3ed7a4a2f995,74d93c96-fba5-3761-82d3-9f1f90c3ba3a,Franklin857 Bayer639,M,GENERAL PRACTICE,,Liverpool,UnitedKingdom,L12 2,53.424459,-2.9036364,7
0c2bd3f7-d853-3715-a67a-c9cad1a4ba39,48bf7ed7-47d5-370c-bbd3-cf2b557cbcb8,Eleonora961 Langosh790,F,GENERAL PRACTICE,Infirmary Drive nan,Alnwick,UnitedKingdom,NE66 1,55.4111857,-1.6974076,4
18ad927a-fd14-3b03-bf0e-a4d76d726be7,5e769070-a0d1-3eb9-99e5-4df58fcf5250,Robbie31 Friesen796,F,GENERAL PRACTICE,,Halifax,UnitedKingdom,HX3 0,53.7049287,-1.858528,27
9ad5bfcb-14a8-3cd1-8997-3b38b9fc9601,9b14f710-3d3a-3316-bc2f-80561c962894,Courtney281 Bradtke547,M,GENERAL PRACTICE,,,UnitedKingdom,L39 6,53.5233897,-2.9164306,18
e8d39a78-f5f5-3ca3-92a7-f64c3c9c7259,19a83667-62ee-388d-b6f6-bc0449b3c7ea,Owen89 Kunde533,M,GENERAL PRACTICE,Grange Loan 133,Edinburgh,UnitedKingdom,EH2 3,55.9308817,-3.1941084,267
00380a07-9db0-385f-871b-de14fa4e61a8,12442068-e3d5-3de7-87ac-e31fae25b733,Keven605 Mueller846,M,GENERAL PRACTICE,,,UnitedKingdom,KA7 3,55.4326331,-4.6052528,7
2c4cb203-89a8-342f-a5ef-c89a71a9ef14,e2d32791-b3b0-38fd-97d0-462186589b9a,Alta896 Schiller186,F,GENERAL PRACTICE,Racecourse Road 35,Ayr,UnitedKingdom,KA7 2,55.4527318,-4.6359028,5
cf81a714-003c-3977-a2c3-1a03f35916b0,f6cf1352-da34-39c7-8176-3cd97953ea6e,Shirl54 Ankunding277,F,GENERAL PRACTICE,,Coventry,UnitedKingdom,CV2 2,52.4230113,-1.4389501,15
2967fda0-8730-310a-b567-24541995158a,df4a6600-0126-378a-a479-d821676b2e8a,Derrick232 Wintheiser220,M,GENERAL PRACTICE,,Coventry,UnitedKingdom,CV1 2,52.4122287,-1.5090765,70
bc0c76fd-bca4-3ee1-9ffa-17b9aaef00ce,e104b3f3-4f9f-33d4-b0c1-5de66b844e42,Aron520 Botsford977,M,GENERAL PRACTICE,Derby Road nan,Belper,UnitedKingdom,DE56 1,53.0179759,-1.4850055,223
d4b69cc9-8751-3f74-9767-5dde0f4009ca,786a2881-1c5d-3f50-9fdc-c52fe1760dfd,Ilana185 Dicki44,F,GENERAL PRACTICE,Lindrick Way 2,Chesterfield,UnitedKingdom,S41 7,53.2817625,-1.2834502,193
13fb67c0-2350-36d0-aacd-714f7ae0b0b8,1c5217a0-053d-3e90-91ee-d1dfcb195d5c,Gregory545 Gusikowski974,M,GENERAL PRACTICE,,Basingstoke,UnitedKingdom,RG21 4,51.2801535,-1.1107708,17
01c66214-1c4c-3bb8-9550-b3efb9d2f89c,ab7a6080-88b4-351f-a456-c7069525f6e3,Tera136 Tromp100,F,GENERAL PRACTICE,Blyth Road nan,Worksop,UnitedKingdom,S80 1,53.3145579,-1.11172,11
1b838446-30c7-38d4-a159-bb45daa765b3,f937db4e-902a-3a14-befb-13bdd281a9ac,Ahmed109 Hoeger474,M,GENERAL PRACTICE,Kempston Road nan,Bedford,UnitedKingdom,MK42 7,52.1283178,-0.475065,5
b6547c4f-1ae5-36b2-8523-54fe8998c688,24db4773-aad2-3e38-89f5-3cae5919770d,Antonio44 Rice937,F,GENERAL PRACTICE,,Sheffield,UnitedKingdom,S20 1,53.3461285,-1.3491573,4
3a41164d-bb0d-36ee-94ed-b8718d453fd7,7a267a4e-485f-366e-aa7b-ca3a7344c326,Beverley336 Lind531,F,GENERAL PRACTICE,,Prestwick,UnitedKingdom,KA9 1,55.4932669,-4.6064365,4
15327922-9be9-3e34-bd1b-1b44818b2fe7,6faacebe-dadf-30a7-a630-2d13b3b6b3de,Svetlana462 Goyette777,F,GENERAL PRACTICE,,Biggleswade,UnitedKingdom,SG18 0,52.0991142,-0.2455745,161
